REPORT of DATE, TOT CASES, CURRENTLY INFECTED, NEW INFECTED, NEW HEALED, NEW DECEASED, VARIATION OF TOTAL INFECTED
                data  totale_casi  totale_positivi  nuovi_positivi  nuovi_guariti  nuovi_deceduti  variazione_totale_positivi
 2020-02-24T18:00:00          229              221             221              1               7                           0
 2020-02-25T18:00:00          322              311              93              0               3                          90
 2020-02-26T18:00:00          400              385              78              2               2                          74
 2020-02-27T18:00:00          650              588             250             42               5                         203
 2020-02-28T18:00:00          888              821             238              1               4                         233
 2020-02-29T18:00:00         1128             1049             240              4               8                         228
 2020-03-01T18:00:00         1694             1577             566             33               5                         528
 2020-03-02T18:00:00         2036             1835             342             66              18                         258
 2020-03-03T18:00:00         2502             2263             466             11              27                         428
 2020-03-04T18:00:00         3089             2706             587            116              28                         443
 2020-03-05T18:00:00         3858             3296             769            138              41                         590
 2020-03-06T18:00:00         4636             3916             778            109              49                         620
 2020-03-07T18:00:00         5883             5061            1247             66              36                        1145
 2020-03-08T18:00:00         7375             6387            1492             33             133                        1326
 2020-03-09T18:00:00         9172             7985            1797            102              97                        1598
 2020-03-10T18:00:00        10149             8514             977            280             168                         529
 2020-03-11T17:00:00        12462            10590            2313             41             196                        2076
 2020-03-12T17:00:00        15113            12839            2651            213             189                        2249
 2020-03-13T17:00:00        17660            14955            2547            181             250                        2116
 2020-03-14T17:00:00        21157            17750            3497            527             175                        2795
 2020-03-15T17:00:00        24747            20603            3590            369             368                        2853
 2020-03-16T17:00:00        27980            23073            3233            414             349                        2470
 2020-03-17T17:00:00        31506            26062            3526            192             345                        2989
 2020-03-18T17:00:00        35713            28710            4207           1084             475                        2648
 2020-03-19T17:00:00        41035            33190            5322            415             427                        4480
 2020-03-20T17:00:00        47021            37860            5986            689             627                        4670
 2020-03-21T17:00:00        53578            42681            6557            943             793                        4821
 2020-03-22T17:00:00        59138            46638            5560            952             651                        3957
 2020-03-23T17:00:00        63927            50418            4789            408             601                        3780
 2020-03-24T17:00:00        69176            54030            5249            894             743                        3612
 2020-03-25T17:00:00        74386            57521            5210           1036             683                        3491
 2020-03-26T17:00:00        80539            62013            6153            999             662                        4492
 2020-03-27T17:00:00        86498            66414            5959            589             969                        4401
 2020-03-28T17:00:00        92472            70065            5974           1434             889                        3651
 2020-03-29T17:00:00        97689            73880            5217            646             756                        3815
 2020-03-30T17:00:00       101739            75528            4050           1590             812                        1648
 2020-03-31T17:00:00       105792            77635            4053           1109             837                        2107
 2020-04-01T17:00:00       110574            80572            4782           1118             727                        2937
 2020-04-02T17:00:00       115242            83049            4668           1431             760                        2477
 2020-04-03T17:00:00       119827            85388            4585           1480             766                        2339
 2020-04-04T17:00:00       124632            88274            4805           1238             681                        2886
 2020-04-05T17:00:00       128948            91246            4316            819             525                        2972
 2020-04-06T17:00:00       132547            93187            3599           1022             636                        1941
 2020-04-07T17:00:00       135586            94067            3039           1555             604                         880
 2020-04-08T17:00:00       139422            95262            3836           2099             542                        1195
 2020-04-09T17:00:00       143626            96877            4204           1979             610                        1615
 2020-04-10T17:00:00       147577            98273            3951           1985             570                        1396
 2020-04-11T17:00:00       152271           100269            4694           2079             619                        1996
 2020-04-12T17:00:00       156363           102253            4092           1677             431                        1984
 2020-04-13T17:00:00       159516           103616            3153           1224             566                        1363
 2020-04-14T17:00:00       162488           104291            2972           1695             602                         675
 2020-04-15T17:00:00       165155           105418            2667            962             578                        1127
 2020-04-16T17:00:00       168941           106607            3786           2072             525                        1189
 2020-04-17T17:00:00       172434           106962            3493           2563             575                         355
 2020-04-18T17:00:00       175925           107771            3491           2200             482                         809
 2020-04-19T17:00:00       178972           108257            3047           2128             433                         486
 2020-04-20T17:00:00       181228           108237            2256           1822             454                         -20
 2020-04-21T17:00:00       183957           107709            2729           2723             534                        -528
 2020-04-22T17:00:00       187327           107699            3370           2943             437                         -10
 2020-04-23T17:00:00       189973           106848            2646           3033             464                        -851
 2020-04-24T17:00:00       192994           106527            3021           2922             420                        -321
 2020-04-25T17:00:00       195351           105847            2357           2622             415                        -680
 2020-04-26T17:00:00       197675           106103            2324           1808             260                         256
 2020-04-27T17:00:00       199414           105813            1739           1696             333                        -290
 2020-04-28T17:00:00       201505           105205            2091           2317             382                        -608
 2020-04-29T17:00:00       203591           104657            2086           2311             323                        -548
 2020-04-30T17:00:00       205463           101551            1872           4693             285                       -3106
 2020-05-01T17:00:00       207428           100943            1965           2304             269                        -608
 2020-05-02T17:00:00       209328           100704            1900           1665             474                        -239
 2020-05-03T17:00:00       210717           100179            1389           1740             174                        -525
 2020-05-04T17:00:00       211938            99980            1221           1225             195                        -199
 2020-05-05T17:00:00       213013            98467            1075           2352             236                       -1513
 2020-05-06T17:00:00       214457            91528            1444           8014             369                       -6939
